Technology,Material,n,mu,sigma,cv_fitted,ks_stat,ks_pval,ad_stat,ad_crit,rmse,fit_quality,mean_obs,std_obs,cv_obs,median_obs,q25_obs,q75_obs,iqr_obs,n_bin
Gas,Cement,4,9.279995726397226,0.27051619294764656,0.2755415057134112,0.16861529913225415,0.9986104101092601,0.17408073290054915,1.799,0.13109336621291387,Good,11118.25,3454.7058123666625,0.31072388301816045,10741.5,9397.5,12462.25,3064.75,4-5
Gas,Copper,4,6.193855487660435,0.06427939726335101,0.064345852515116,0.22797025600870058,0.9568303632430145,0.19200834360248642,1.799,0.14953530128274645,Good,490.75,36.782015532956684,0.07495061748946853,485.5,466.75,509.5,42.75,4-5
Gas,Manganese,3,4.9440284205415415,0.25044684612970874,0.2544258844923164,0.3560503938462739,0.716307501780509,0.32987090119200646,-1.771,0.22785071859142797,Fair,145.0,47.148700936505136,0.3251634547345182,124.0,118.0,161.5,43.5,3
Gas,Nickel,3,2.2599739691574174,0.13345405107325492,0.13405046533592127,0.2919150064588681,0.9056901246246466,0.24702579803623426,-1.771,0.1679086233505554,Fair,9.666666666666666,1.5275252316519468,0.1580198515502014,10.0,9.0,10.5,1.5,3
Gas,Steel,2,10.592418222758235,0.24970846531580904,0.25365210852552045,0.3413447460685437,0.9332490989253861,0.2504824087501869,-0.242,0.26616510408828314,Poor,41080.0,14212.846301849606,0.34597970549779955,41080.0,36055.0,46105.0,10050.0,2
Gas CCS,Aluminum,2,5.378099651383706,0.05997965753948975,0.060033643086683526,0.34134474606854237,0.9332490989253881,0.25048240875018735,-0.242,0.2661651040882825,Poor,217.0,18.384776310850235,0.08472247147857251,217.0,210.5,223.5,13.0,2
Gas CCS,Cement,4,9.622230377554951,0.3956971801656184,0.4117037079048104,0.2715496887897295,0.8531376449242734,0.2627361170425466,1.799,0.12679379533931562,Good,16216.5,6533.013061877855,0.4028620887292483,16435.0,13584.0,19067.5,5483.5,4-5
Gas CCS,Copper,4,6.3759478744554015,0.0638855641094678,0.06395080465043305,0.22985630484630815,0.9535795420556991,0.19307832890290655,1.799,0.1497675373907511,Good,588.75,43.85107372307623,0.07448165388208278,582.5,560.0,611.25,51.25,4-5
Gas CCS,Manganese,3,4.9440284205415415,0.25044684612970874,0.2544258844923164,0.3560503938462739,0.716307501780509,0.32987090119200646,-1.771,0.22785071859142797,Fair,145.0,47.148700936505136,0.3251634547345182,124.0,118.0,161.5,43.5,3
Gas CCS,Nickel,3,2.2599739691574174,0.13345405107325492,0.13405046533592127,0.2919150064588681,0.9056901246246466,0.24702579803623426,-1.771,0.1679086233505554,Fair,9.666666666666666,1.5275252316519468,0.1580198515502014,10.0,9.0,10.5,1.5,3
Gas CCS,Steel,2,11.017687650476965,0.24970805130057006,0.2536516747238517,0.34134474606854304,0.9332490989253871,0.2504824087501869,-0.242,0.2661651040882827,Poor,62852.5,21745.654841829895,0.3459791550348816,62852.5,55164.25,70540.75,15376.5,2
Geothermal,Aluminum,7,8.889192325499959,1.3523049947501364,2.286037438272914,0.22308011736525846,0.8087843662431664,0.39706553453672644,0.742,0.11803792264907874,Good,16165.857142857143,19310.868204447044,1.1945465083476579,9729.0,1993.0,26399.0,24406.0,6-10
Geothermal,Cement,8,12.491159966284012,0.8932742602293334,1.1049699538420101,0.17912219004838092,0.9220888801125501,0.3419108396365722,0.709,0.09982792769432954,Excellent,393824.625,375408.64090783504,0.9532381092417342,251833.0,169214.5,480738.0,311523.5,6-10
Geothermal,Copper,3,8.02308685438115,1.416685001093532,2.537899545315601,0.2342570048529815,0.9851783997557685,0.19973227193780563,-1.771,0.18433965921584644,Fair,7333.333333333333,10050.040414512438,1.3704600565244234,2518.0,1557.5,10701.5,9144.0,3
Geothermal,Steel,8,12.821240313965239,0.9058972491835159,1.1278190222849698,0.22013477799248,0.7586470002587109,0.4760547253127516,0.709,0.11622705744639425,Good,544709.0,472941.38969915867,0.8682459619708113,325500.0,145651.75,978479.0,832827.25,6-10
Hydro,Cement,8,13.77319598367062,0.3126722732989327,0.3204722484228983,0.13612932240824815,0.992988708478794,0.14894215534269506,0.709,0.07748221756433167,Excellent,1007209.75,347040.08826184005,0.3445559261731134,995680.0,763434.75,1120422.0,356987.25,6-10
Hydro,Copper,3,7.422471835757464,0.4312897143778095,0.45214520849017503,0.265459573050089,0.9537173173515283,0.22464981366123027,-1.771,0.1968496410897261,Fair,1840.6666666666667,1003.8034336130423,0.545347754588759,1502.0,1276.0,2236.0,960.0,3
Hydro,Steel,4,11.093231007508026,0.7063524924210991,0.8043409803009618,0.16962009574266812,0.9984778648477849,0.16784550524052833,1.799,0.13114094267538712,Good,83575.0,65977.6919369974,0.7894429187795083,66250.0,47075.0,102750.0,55675.0,4-5
NGCC,Aluminum,2,5.378099651383706,0.05997965753948975,0.060033643086683526,0.34134474606854237,0.9332490989253881,0.25048240875018735,-0.242,0.2661651040882825,Poor,217.0,18.384776310850235,0.08472247147857251,217.0,210.5,223.5,13.0,2
