material,year,within_var,between_var,total_var,within_pct,between_pct,mean_demand
Lead,2029,993797329.8364226,12343298189.527506,13337095519.363928,7.451377463657985,92.54862253634201,559466.6267909087
Lead,2032,4086593431.8871665,97614379970.82503,101700973402.71219,4.018244167344601,95.9817558326554,1130802.6994125482
Lead,2035,5665246170.286789,434745574086.8115,440410820257.0983,1.286354900858156,98.71364509914184,1168224.795108239
Lead,2038,903641658.0919057,46639445308.53944,47543086966.63134,1.90067939577869,98.0993206042213,502307.25659330183
Lead,2041,647802033.0546219,47148776252.49682,47796578285.55144,1.355331398796905,98.6446686012031,399717.0517133109
Lead,2044,599836615.5608162,49788761450.1028,50388598065.66361,1.1904213226554599,98.80957867734455,362657.78261028393
Lead,2047,500019685.8581586,59309366505.545425,59809386191.40359,0.8360220990363992,99.1639779009636,301806.18367156776
Lead,2050,280479576.62954956,39171759031.92459,39452238608.55414,0.7109345033940235,99.28906549660599,210256.4161996607
Magnesium,2029,60473.675741950734,2252566.9250648487,2313040.6008067993,2.614466677362137,97.38553332263787,4585.300280293388
Magnesium,2032,74020.98599804728,1032359.3520580275,1106380.338056075,6.690374318121302,93.30962568187869,5385.420376735241
Magnesium,2035,111610.25010576916,6602901.311605941,6714511.56171171,1.662224408729988,98.33777559127002,5533.330252984057
Magnesium,2038,25198.23225008424,687334.4293724311,712532.6616225154,3.536431886884327,96.46356811311567,2908.932043234916
Magnesium,2041,32040.947860233828,1841181.3324421307,1873222.2803023644,1.7104722806874775,98.28952771931253,3096.945589276304
Magnesium,2044,39980.80717946073,2240145.6281345757,2280126.4353140364,1.7534469387419855,98.24655306125801,3496.119460655437
Magnesium,2047,44129.1171970487,2983982.2202768,3028111.337473849,1.4573148830737075,98.54268511692628,3586.146169934034
Magnesium,2050,37237.80508708069,2524137.882574216,2561375.6876612967,1.4538205100666526,98.54617948993335,3407.1325452741503
Manganese,2029,383343.6315850674,163941073.83576262,164324417.46734768,0.2332846435687138,99.76671535643129,62896.62969682847
Manganese,2032,938303.0544185523,1294287323.8412235,1295225626.895642,0.07244321259049274,99.9275567874095,126000.59701870102
Manganese,2035,4537428.836325869,7181529674.227741,7186067103.064067,0.06314203264802738,99.93685796735198,137680.92428021584
Manganese,2038,260771.45528357013,706879095.8397523,707139867.2950358,0.036876927372385016,99.96312307262762,55989.41319996133
Manganese,2041,1066385.7484022093,648311352.5495265,649377738.2979287,0.1642165546354102,99.83578344536458,49468.62596524232
Manganese,2044,606095.9713039737,709507657.0003475,710113752.9716514,0.08535195505897628,99.91464804494102,44905.456206024246
Manganese,2047,470966.88892411126,738831058.5534941,739302025.4424182,0.0637042606020553,99.93629573939795,38969.31661085433
Manganese,2050,769384.6797027086,521263408.1713546,522032792.8510573,0.14738244229845232,99.85261755770155,29221.516171880776
Molybdenum,2029,1540931.6432917686,4777733.315003674,6318664.958295442,24.386981323780443,75.61301867621955,9784.233717313164
Molybdenum,2032,4611194.088726947,21229553.63588341,25840747.72461036,17.844661996120614,82.15533800387938,18268.690562552045
Molybdenum,2035,6892091.54417007,108754461.92695948,115646553.47112955,5.959616899340316,94.04038310065968,19145.17225227993
Molybdenum,2038,1123335.336634346,11617079.372769715,12740414.70940406,8.817101815415636,91.18289818458437,8375.780987723763
Molybdenum,2041,948722.29152314,13717044.755253037,14665767.046776177,6.468957869692113,93.5310421303079,6949.25882097615
Molybdenum,2044,960535.8667894375,14076481.20850384,15037017.075293278,6.387808579187262,93.61219142081274,6565.433560429796
Molybdenum,2047,914357.7980492839,17180789.720107973,18095147.518157255,5.053055230037709,94.9469447699623,5725.636181263743
Molybdenum,2050,620923.7311674206,11442004.381916681,12062928.113084102,5.147371561419928,94.85262843858007,4289.084915752955
Neodymium,2029,48776042.162060775,6771477.517173494,55547519.67923427,87.80957717594559,12.19042282405442,13157.496271374916
Neodymium,2032,195604230.0803648,54528188.88460992,250132418.9649747,78.20027123623454,21.799728763765458,26680.06646197665
Neodymium,2035,289655782.29565626,241858418.4412198,531514200.7368761,54.496339306473054,45.503660693526946,27540.65778526795
Neodymium,2038,44163262.68131505,25965623.242767893,70128885.92408293,62.97442501670907,37.02557498329094,11839.351066446547
Neodymium,2041,32317816.88116706,26138162.308772232,58455979.18993929,55.28573351950488,44.71426648049513,9402.292673493164
Neodymium,2044,29252033.810083885,27623266.894349266,56875300.70443315,51.4318754323594,48.5681245676406,8515.838927174065
Neodymium,2047,24966231.878924854,32875804.61743044,57842036.496355295,43.16278158791662,56.83721841208338,7071.845445506688
Neodymium,2050,13725616.954794763,21711402.730733275,35437019.68552804,38.73242466944844,61.26757533055155,4909.886383715132
Nickel,2029,56955642.95714963,22619456.51377698,79575099.47092661,71.57470532343956,28.425294676560444,22797.84075232258
Nickel,2032,227732237.97085312,163387552.33145317,391119790.3023063,58.2257005698518,41.7742994301482,45243.22244902581
Nickel,2035,339250260.34095836,823931577.0921491,1163181837.4331074,29.16571162163354,70.83428837836648,48550.98697979017
Nickel,2038,51556294.07802056,82381870.42075132,133938164.49877188,38.49260908640665,61.50739091359334,20256.908887587433
Nickel,2041,38548035.14284032,79685661.62329803,118233696.76613835,32.60325626042704,67.39674373957297,17171.172500859957
Nickel,2044,34535604.91609549,86095636.52429071,120631241.4403862,28.629071958247533,71.37092804175246,15477.10846299338
Nickel,2047,29484444.073734786,97422412.6303955,126906856.70413029,23.233137152293196,76.7668628477068,13143.344343543811
Nickel,2050,16636154.07323671,67208411.27490279,83844565.3481395,19.84166058248385,80.15833941751616,9651.893090247857
Niobium,2029,29822.923811521254,385458.44058782305,415281.3643993443,7.181377824323182,92.81862217567681,3176.449008827291
Niobium,2032,120406.72705057624,3069417.723456031,3189824.4505066075,3.7747132771351497,96.22528672286484,6498.364176899675
Niobium,2035,176465.91342733777,13621804.728765827,13798270.642193165,1.2788987692974358,98.72110123070256,6605.829165358962
Niobium,2038,27077.61337948845,1461319.5883020593,1488397.2016815478,1.8192464584653179,98.18075354153468,2873.9713844857547
Niobium,2041,19724.24458623349,1481136.5791435004,1500860.823729734,1.3141954453323323,98.68580455466765,2262.7800536070267
Niobium,2044,17892.44244842182,1562419.2209663512,1580311.663414773,1.132209731956254,98.86779026804375,2041.3361358243912
Niobium,2047,15195.988557845903,1856309.6508527512,1871505.639410597,0.8119659507214552,99.18803404927854,1684.636060606381
Niobium,2050,8355.238487850616,1226901.7881537282,1235257.0266415789,0.6763967585407603,99.32360324145924,1170.842704794747
Praseodymium,2029,826110.9753579531,29370.28032825841,855481.2556862115,96.56681193970762,3.4331880602923883,979.5973895011583
Praseodymium,2032,3301971.307954647,206924.72245214245,3508896.0304067894,94.10285398430133,5.897146015698661,2163.749780854871
Praseodymium,2035,4913245.137546386,923089.6617983856,5836334.799344772,84.18374384721695,15.816256152783048,1917.516845894748
Praseodymium,2038,746930.1593987517,98360.40677701315,845290.5661757649,88.3637164884009,11.636283511599093,930.1742065872276
Praseodymium,2041,547741.5128073369,109285.5951259817,657027.1079333186,83.36665355106275,16.633346448937242,678.0580210686658
Praseodymium,2044,495055.9495859534,124163.49992635942,619219.4495123128,79.94838501533688,20.051614984663125,589.0462162801108
Praseodymium,2047,423584.1564491746,130217.68263822414,553801.8390873987,76.48659259550172,23.513407404498295,456.494009313848
Praseodymium,2050,232864.0098672204,86767.11347537488,319631.1233425953,72.85398475342654,27.14601524657344,320.7205861117471
Selenium,2029,751409.6308704445,127204.6578709133,878614.2887413577,85.52212734291655,14.477872657083454,988.495276335085
Selenium,2032,907748.0661600804,64221.53667592479,971969.6028360052,93.39263939031224,6.607360609687762,1126.2354374650915
Selenium,2035,1408738.5715703643,348354.1299631275,1757092.7015334917,80.17440231473823,19.825597685261776,1312.9486626086916
Selenium,2038,314849.2316670103,39837.39806338074,354686.629730391,88.76828311976055,11.231716880239453,650.1290529277119
Selenium,2041,400184.1356348313,124413.33076358637,524597.4663984177,76.28403895700522,23.715961042994778,681.6568438001309
Selenium,2044,499923.5643963728,143952.06514216337,643875.6295385362,77.64287720513146,22.357122794868538,769.2498435086437
Selenium,2047,552628.1619221036,187096.74169934113,739724.9036214447,74.70725390163582,25.292746098364177,791.5935012078284
Selenium,2050,462517.9331922251,153311.34871723814,615829.2819094632,75.10489461594368,24.89510538405632,726.4084082237314
Silicon,2029,37176554115.75102,18047403003.04269,55223957118.79372,67.31961281908782,32.68038718091216,410337.2227353829
Silicon,2032,45523810024.2751,8272491528.7653475,53796301553.04045,84.62256458167651,15.377435418323483,481908.3572386468
Silicon,2035,68556589728.37546,52893140607.6894,121449730336.06485,56.44853186472443,43.551468135275584,495284.6135459597
Silicon,2038,15485621848.50062,5506730248.025217,20992352096.525837,73.7679216568754,26.232078343124602,260340.2999458827
Silicon,2041,19689294948.754154,14757818420.833189,34447113369.58734,57.158040319678676,42.84195968032133,277157.4462610368
Silicon,2044,24569517963.41074,17953594743.139523,42523112706.55026,57.77920852822717,42.22079147177283,312880.7933401801
Silicon,2047,27117334362.378036,23913667559.191853,51031001921.569885,53.138941704603354,46.86105829539665,320939.9097033506
Silicon,2050,22890623781.83881,20226896198.817406,43117519980.65622,53.08891557795581,46.911084422044176,304896.0112898787
Silver,2029,3402544.6606170596,1550554.5498063073,4953099.210423367,68.69526565219408,31.304734347805912,3795.783238947771
Silver,2032,4164389.7247502445,708971.2788479746,4873361.003598219,85.45210834320484,14.547891656795167,4455.294883264222
Silver,2035,6282384.882354591,4586706.418555453,10869091.300910044,57.800461036044304,42.199538963955696,4590.856129092551
Silver,2038,1418041.481783067,473049.8328585054,1891091.3146415725,74.98535215111148,25.0146478488885,2408.953532116038
Silver,2041,1803270.6913828887,1262265.2548846987,3065535.946267587,58.823994335425844,41.176005664574156,2570.995709853858
Silver,2044,2249965.325256916,1532426.306278101,3782391.631535017,59.48525547958151,40.514744520418496,2898.034737888363
Silver,2047,2483455.470876688,2044682.9182375418,4528138.38911423,54.844955199403444,45.15504480059656,2972.391299038533
Silver,2050,2095334.2615461182,1732487.1392189339,3827821.400765052,54.739603606566696,45.260396393433304,2826.122768787223
Steel,2029,5657052541505.004,15382198653186.275,21039251194691.28,26.888088787743627,73.11191121225636,17822448.514291108
Steel,2032,31046873254216.016,36976981451979.46,68023854706195.48,45.64115542747731,54.35884457252269,34153331.859543435
Steel,2035,27321900121726.758,306426328910930.94,333748229032657.7,8.186380554263039,91.81361944573696,32225210.768206645
Steel,2038,5995297848982.7,30298508794986.38,36293806643969.08,16.518790403538272,83.48120959646174,15197829.757110331
Steel,2041,3648805812293.3867,36682144816082.88,40330950628376.266,9.047160444877143,90.95283955512288,13368419.800938185
Steel,2044,3809678095137.889,36376157735002.02,40185835830139.914,9.480151442515425,90.51984855748458,13060914.007021604
Steel,2047,2255243793077.107,35641152533127.91,37896396326205.016,5.95107717806304,94.04892282193696,11483599.972777367
Steel,2050,1377438953011.7847,27084482465285.547,28461921418297.332,4.839585257677895,95.1604147423221,9595482.508631535
Tellurium,2029,1359399.8071709557,309355.34882180876,1668755.1559927645,81.46190903375701,18.53809096624299,1541.5297334602974
Tellurium,2032,1642236.797881264,156183.5565833959,1798420.35446466,91.31551440709269,8.684485592907306,1756.331522560139
Tellurium,2035,2548595.152192327,847179.7746401761,3395774.926832503,75.05194564145025,24.948054358549758,2047.5053855817748
Tellurium,2038,569604.0711113175,96882.55430517849,666486.625416496,85.46369115139628,14.536308848603728,1013.8574150704623
Tellurium,2041,723986.2446062549,302566.9812776017,1026553.2258838565,70.52593341985816,29.474066580141834,1063.0240911524604
Tellurium,2044,904428.1163303584,350084.20344846894,1254512.3197788275,72.09400035942338,27.905999640576617,1199.6228354522557
Tellurium,2047,999777.7322655504,455009.8931955721,1454787.6254611225,68.7232771827195,31.276722817280497,1234.467122038281
Tellurium,2050,836756.3621273659,372845.5117492049,1209601.8738765707,69.17617938584225,30.823820614157757,1132.8128588172021
Terbium,2029,317724.6361557976,10112.578346615266,327837.2145024128,96.91536595015182,3.0846340498481872,514.6363367038003
Terbium,2032,1269875.3272414862,80506.01599437345,1350381.3432358596,94.03827545473484,5.961724545265148,1053.0507661276383
Terbium,2035,1889685.115471649,357283.0557279708,2246968.17119962,84.09932724871562,15.900672751284374,1070.0940876622926
Terbium,2038,287264.11230955,38327.94704810517,325592.0593576552,88.22823040472163,11.771769595278375,465.6877817086038
Terbium,2041,210664.4669300051,38853.97324316183,249518.44017316692,84.42841610576076,15.57158389423924,366.58110122639164
Terbium,2044,190394.63921056912,40985.27350749122,231379.91271806034,82.28658960666462,17.713410393335376,330.6763150672889
Terbium,2047,162914.6126855226,48691.6071723378,211606.2198578604,76.98951987089755,23.010480129102447,272.85542776480133
Terbium,2050,89561.7646699177,32182.624228983586,121744.38889890129,73.5654147841601,26.434585215839896,189.64240928623323
Tin,2029,7113559.836616537,263726894.35460475,270840454.1912213,2.626476114086766,97.37352388591323,49599.04575245767
Tin,2032,8698250.943058087,120893496.8931223,129591747.83618039,6.712040765167953,93.28795923483204,58248.63567457727
Tin,2035,13163162.350976225,772877412.3704586,786040574.7214348,1.6746161425116155,98.32538385748839,59872.11280668896
Tin,2038,2967355.9640901866,80469095.23599891,83436451.2000891,3.55642638368471,96.44357361631529,31469.325091350995
Tin,2041,3774524.3675225875,215692922.0336542,219467446.4011768,1.7198561469672016,98.2801438530328,33501.69255486199
Tin,2044,4708583.0522633325,262388833.166027,267097416.21829033,1.76287105990391,98.23712894009608,37819.777554034044
Tin,2047,5197866.412135018,349486352.70049155,354684219.11262655,1.465491310873486,98.53450868912653,38794.0399461399
Tin,2050,4381690.030308639,295596997.37037045,299978687.4006791,1.4606671121458874,98.5393328878541,36853.611899905634
Vanadium,2029,7907638.868046059,32954180.220837496,40861819.08888356,19.352145950343484,80.64785404965652,55756.16171526533
Vanadium,2032,74854689.69987147,29726582.9454533,104581272.64532477,71.57561560159289,28.424384398407113,164349.08242549445
Vanadium,2035,13185144.904076245,80324378.57737051,93509523.48144676,14.10032306141771,85.89967693858229,78267.89224193348
Vanadium,2038,11167553.04911965,19456304.537613645,30623857.586733297,36.466839677172466,63.53316032282752,64256.81713723365
Vanadium,2041,3352123.726587786,235519103.63326445,238871227.35985222,1.4033183333285737,98.59668166667144,33493.66988874581
Vanadium,2044,5159631.170842979,1242548661.9128194,1247708293.0836623,0.4135286428281367,99.58647135717187,23082.54091838616
Vanadium,2047,399315.9089367824,108310322.61542995,108709638.52436674,0.36732337109857804,99.63267662890142,9721.601198101558
Vanadium,2050,271145.2509695483,71763774.49280256,72034919.7437721,0.3764080697722865,99.62359193022772,7843.465745769161
Yttrium,2029,1240.879489068352,385.4569551732745,1626.3364442416266,76.29906428414226,23.70093571585774,94.56631081228092
Yttrium,2032,4959.393799632335,3240.233980382598,8199.627780014933,60.48315768332722,39.516842316672786,184.57953029805742
Yttrium,2035,7380.38456900536,14339.925390702176,21720.309959707534,33.979186221082536,66.02081377891747,203.32046565411594
Yttrium,2038,1121.9062290766026,1544.3139696899316,2666.220198766534,42.07852860748812,57.92147139251189,83.12134875794058
Yttrium,2041,822.7666533292116,1518.3240799795765,2341.090733308788,35.144586308551645,64.85541369144835,68.46517556477758
Yttrium,2044,743.6083100274118,1640.9742239671577,2384.5825339945695,31.184003884392506,68.8159961156075,63.025196052043576
Yttrium,2047,636.2905070784932,1932.2991240460537,2568.589631124547,24.771979897774507,75.22802010222549,53.66019943880332
Yttrium,2050,349.79811426649144,1272.066494207054,1621.8646084735453,21.567651975321905,78.43234802467809,37.10248070219477
Zinc,2029,626600542.1714982,7904977322.277424,8531577864.448922,7.344486003961144,92.65551399603886,427104.1773861927
Zinc,2032,2504429897.0679455,65540458709.59545,68044888606.6634,3.68055551026752,96.31944448973248,832070.0949179202
Zinc,2035,3726988491.2777133,290949796847.34564,294676785338.62335,1.264771667369352,98.73522833263064,916694.6202501075
Zinc,2038,566540120.9723144,31328656473.742485,31895196594.714798,1.7762553031768835,98.22374469682312,374984.7757072583
Zinc,2041,415472043.5772777,30913442538.00564,31328914581.582916,1.3261616277683557,98.67383837223164,309152.99989983864
Zinc,2044,375496243.1406155,33390607883.038376,33766104126.178993,1.1120508357654795,98.88794916423451,284866.7743769827
Zinc,2047,321302561.5329193,39326803597.96876,39648106159.50168,0.8103856467704675,99.18961435322953,242805.91726316276
Zinc,2050,176633550.03713572,25891268954.180218,26067902504.217354,0.6775901897306826,99.32240981026932,168235.28048114805
