material,technology,S1,S1_conf,ST,ST_conf,coefficient,n_params,n_evaluations,analytical
Dysprosium,onshore wind,0.9988668695806142,0.0688474505631663,0.9988677512610891,0.05947252627295444,39276367.800000004,2,4096,False
Dysprosium,offshore wind,0.0009512509924773185,0.003033211106068619,0.0009507219841924556,8.013280567075834e-05,3300259.0999999987,2,4096,False
Fiberglass,onshore wind,0.9626353047947828,0.06687816431751503,0.9626407176240146,0.05729537125078412,39276367.800000004,2,4096,False
Fiberglass,offshore wind,0.0371844566053996,0.018388482801449245,0.03718120890786049,0.0031761155038425772,3300259.0999999987,2,4096,False
Gadium,CIGS,1.0,0.0,1.0,0.0,1392145.311000001,1,0,True
Gallium,CIGS,1.0,0.0,1.0,0.0,1392145.311000001,1,0,True
Germanium,a-Si,1.0,0.0,1.0,0.0,0.0,1,0,True
Glass,utility-scale solar pv,0.9840911405669116,0.08012406549435361,0.9841178114791148,0.07065346847582953,41764359.32999998,6,8192,False
Glass,Solar Distributed,0.009052416890937639,0.008455984772302545,0.009025693581692813,0.0008278819648509492,4000044.3999999957,6,8192,False
Glass,CdTe,0.005955660126578113,0.007018557204093044,0.005950784958084504,0.0005100102151683807,3248339.058999999,6,8192,False
Glass,CIGS,0.0010672865601555623,0.0023933046835349467,0.001093245288151485,8.887983256652068e-05,1392145.311000001,6,8192,False
Glass,CSP,1.1141248851144725e-06,7.887645173235426e-05,9.462036436884374e-07,8.005370251663036e-08,33994.30000000001,6,8192,False
Glass,a-Si,0.0,0.0,0.0,0.0,0.0,6,8192,False
Indium,CIGS,0.9999962452616272,0.0782547079967827,0.9999960275882134,0.06771076515407635,1392145.311000001,3,5120,False
Indium,CdTe,1.73100968981804e-05,0.00034381653241175584,1.7866373400473205e-05,1.5843932853215686e-06,3248339.058999999,3,5120,False
Indium,a-Si,0.0,0.0,0.0,0.0,0.0,3,5120,False
Lead,onshore wind,0.9634415963097073,0.0824019176304604,0.9633811762350947,0.0683076398722055,39276367.800000004,5,7168,False
Lead,offshore wind,0.032296008834847956,0.01557184433523262,0.03232536568009837,0.0025151519295769933,3300259.0999999987,5,7168,False
Lead,utility-scale solar pv,0.004249819819804544,0.005920736589221096,0.004204886821411236,0.00033411216217448615,41764359.32999998,5,7168,False
Lead,Solar Distributed,3.825171187925151e-05,0.0005433069907187788,3.857267362735129e-05,3.2241817080860193e-06,4000044.3999999957,5,7168,False
Lead,CdTe,0.0,9.850423513193898e-07,1.4591161378961845e-10,1.1877449469274864e-11,3248339.058999999,5,7168,False
Magnesium,utility-scale solar pv,0.9907240788687379,0.06810370928972088,0.9907267941382223,0.058555781548264595,41764359.32999998,2,4096,False
Magnesium,Solar Distributed,0.009092616462704666,0.009303736730874071,0.009090987301013933,0.0007700747064858255,4000044.3999999957,2,4096,False
Manganese,onshore wind,0.5370785775430591,0.0560888262493645,0.5372122824307457,0.044218991157563246,39276367.800000004,11,13312,False
Manganese,Nuclear New,0.1452158165760703,0.02860644141230345,0.14511868341208375,0.011807201910555114,1582396.8,11,13312,False
Manganese,NGCC,0.13487756441164053,0.03036348996004735,0.13487974095990968,0.011149162291107215,5142680.699999998,11,13312,False
Manganese,NGGT,0.13302074230197738,0.031019803316010834,0.13315486555191103,0.011978030609159687,5109209.6000000015,11,13312,False
Manganese,Gas CCS,0.03392135542867456,0.01348181832026467,0.03389294150502515,0.0030376247978359527,2577920.899999998,11,13312,False
Manganese,CSP,0.013628017736046544,0.010746617071734132,0.013773487822485012,0.0012554042145339946,33994.30000000001,11,13312,False
Manganese,Coal CCS,0.0014579584762568266,0.0032393355395254203,0.0014579358177789668,0.00012277318219360884,534664.8999999999,11,13312,False
Manganese,Bio CCS,0.00037974292875983057,0.0016970416958626766,0.0003718534682873703,2.9402030984103796e-05,270022.29999999993,11,13312,False
Manganese,Biomass,2.7331201281550007e-16,4.55275080361829e-16,3.521866227117461e-29,6.524543012876079e-30,0.0,11,13312,False
Manganese,Gas,1.725103389748667e-16,3.5423444369101803e-16,2.1032249542001627e-29,4.386511351934463e-30,0.0,11,13312,False
Manganese,Coal,3.5818466686944546e-17,5.233526548842484e-16,3.946030965092737e-29,5.449556611412479e-30,0.0,11,13312,False
Molybdenum,onshore wind,0.9517664204490879,0.07624320268140984,0.9517364855959033,0.06326704066005154,39276367.800000004,5,7168,False
