scenario,total_cumulative_demand,peak_demand,mean_demand_early,year_of_peak,demand_slope,temporal_concentration,mean_cv,mean_ci_width,solar_fraction_2035,wind_fraction_2035,storage_fraction_2035,n_active_materials,supply_chain_stress,peak_supply_chain_stress,mean_n_exceeding_production,peak_n_exceeding_production,total_import_exposed_demand
Limited_Trans_No_TC_Expiration,248628929.49314258,55980231.65898771,40988331.67806556,2032.0,8445.593536600185,1.4247891939576494,0.34002293188116484,1.1998840160238693,0.27717432776943696,0.2564778435295763,0.06913717998613962,30,0.17612988847863603,0.250352049730082,16.0,18,90451453.26694107
Low_Demand_Growth,157575477.44455346,47979146.78292146,32490363.891662553,2032.0,-616574.3779883455,2.7537529704285153,0.2909893933509668,1.0294491668999437,0.2943552269873923,0.24784513906300557,0.05852739268743555,30,0.1692931541467715,0.23689049552356883,15.555555555555555,18,57493527.773826316
Low_Demand_Growth_CO2e_100by2035,211969960.72670674,83201263.00620428,55396120.4169631,2035.0,-1120851.3578017373,5.958372222053344,0.310933910822332,1.10859773395127,0.33561756195318376,0.2984211240301807,0.07147497222716798,30,0.19487483111038062,0.2967656330227449,15.444444444444445,18,77393160.3288589
Low_Demand_Growth_No_TC_Expiration,178951260.1516044,47979192.4880675,31771437.580292594,2032.0,-140252.88180901142,1.6644168368065906,0.33441763755542686,1.1825539619877963,0.29318586653574663,0.24446340651087461,0.05844789405978263,30,0.18611388710239377,0.24769949667846944,16.0,18,68059044.15552935
Mid_Case,250969965.58018464,58784038.774977855,42077784.57316483,2032.0,-62901.94265701293,1.5189597500123269,0.3409936164772057,1.2026888659850759,0.2820639485622366,0.265973592950422,0.06447319654992291,30,0.17439427596402945,0.2469531571542296,16.0,18,90818198.68503676
Mid_Case_100by2035,254944325.18632567,66609443.2722191,58101771.82331243,2032.0,-1003688.2824318121,3.2576914174884455,0.33066207330896885,1.1720896795902744,0.28049196176962066,0.31885027545204425,0.07461975402836904,30,0.16754236154460395,0.2361121293485006,16.0,18,84686335.34619118
Mid_Case_95by2035,247820506.8075221,61219178.43473016,55486053.05121374,2035.0,-889806.4119870184,3.045735333267473,0.33036634070292153,1.171428746524308,0.2803146638833529,0.31247926232848,0.06494741008227352,30,0.15963034981536653,0.20854404934779977,16.0,18,81472449.0859991
Mid_Case_95by2050,322489773.49841213,59051863.64324147,42513665.35014234,2032.0,1206027.774166041,0.9023421119382745,0.34296052645823555,1.2096320375551597,0.2864816113121957,0.2634117442161425,0.06525324358036766,30,0.1667804854610801,0.2092176026859139,16.0,18,114725347.62370363
Mid_Case_CO2e_100by2035,293328694.2717606,99673411.26655746,70326778.34849496,2035.0,-1291251.8556497525,4.327995924355678,0.33413616633912435,1.1858176256177677,0.30432381372019396,0.339876956594199,0.078921009912617,30,0.1687510230388322,0.2508026918844765,16.0,18,97967350.37796389
Mid_Case_CO2e_95by2035,268982401.74603254,85880660.09718904,63702095.06040013,2035.0,-1101834.8284905015,3.8672699223438634,0.33214179041720826,1.1776346636938304,0.29243220545221515,0.331311805524676,0.06699184947429777,30,0.16781489573002883,0.24322073404702815,16.0,18,90002099.45481776
