technology,material,n_samples,mean,std,median,q25,q75,min,max,use_parametric,recommendation,best_distribution,ks_statistic,ks_pvalue,ad_statistic,aic,bic,param_s,param_loc,param_scale
Solar Distributed,Glass,3,63.36666666666667,8.787680771018788,66.7,60.05,68.35,53.4,70.0,True,"CV borrowed from median of n>5 pairs (n=3, CV: 0.118 → 0.881, median preserved: 66.70)",lognormal,0.3554199803620594,0.7180337041056377,0.4202571765273504,26.53812392578515,23.83396079178948,0.7577901535924403,0,66.7
Solar Distributed,Lead,5,0.025769999999999998,0.029542591287833906,0.00632,0.006,0.039,0.00553,0.072,True,"Forced lognormal distribution (n=5, KS p=0.3918, AIC=-21.45)",lognormal,0.3722073596196947,0.3917548120524357,0.6885270636376601,-21.452494301539286,-22.624180564236987,1.090229761080617,0,0.014256013983502005
Solar Distributed,Magnesium,1,0.0535,0.0,0.0535,0.0535,0.0535,0.0535,0.0535,True,"CV borrowed from median of n>5 pairs (n=1, CV: 0.996 → 0.881, median preserved: 0.05)",lognormal,0.0,1.0,0.0,0.0,0.0,0.7577901535924403,0,0.0535
Solar Distributed,Nickel,5,0.00114,0.00015165750888103096,0.0011,0.001,0.0013,0.001,0.0013,True,"Forced lognormal distribution (n=5, KS p=0.7445, AIC=-69.00)",lognormal,0.27909202612109507,0.7445443440799355,0.5688561338505114,-69.00127168532127,-70.17295794801898,0.11820697512959727,0,0.001132024634814548
Solar Distributed,Silicon,15,4.899933333333333,2.2372122469929487,4.0,3.3985000000000003,6.6295,0.638,9.0,True,"Forced lognormal distribution (n=15, KS p=0.4347, AIC=77.69)",lognormal,0.21448150176022962,0.4347260990374896,1.0199641374363395,77.69452574830598,79.81867635161261,0.6223150823708139,0,4.242648595393965
Solar Distributed,Silver,30,0.03363129166666667,0.023070446499113592,0.029728125,0.01725,0.0448421875,0.004,0.084,True,"Forced lognormal distribution (n=30, KS p=0.9053, AIC=-143.45)",lognormal,0.09854105587457396,0.9052846234327069,0.3161341074196322,-143.446427553219,-139.24283540823254,0.7725831331628867,0,0.025947067916021173
Solar Distributed,Steel,2,55.95,0.07071067811865576,55.95,55.925,55.975,55.9,56.0,True,"CV borrowed from median of n>5 pairs (n=2, CV: 0.001 → 0.881, median preserved: 55.95)",lognormal,0.3413447460685041,0.933249098925444,0.359282982079403,-0.30717549381022025,-4.227733952130384,0.7577901535924403,0,55.95
Solar Distributed,Tin,1,0.577,0.0,0.577,0.577,0.577,0.577,0.577,True,"CV borrowed from median of n>5 pairs (n=1, CV: 0.996 → 0.881, median preserved: 0.58)",lognormal,0.0,1.0,0.0,0.0,0.0,0.7577901535924403,0,0.577
a-Si,Aluminum,3,20.69333333333333,9.185642782806946,15.39,15.39,23.345,15.39,31.3,True,"CV borrowed from median of n>5 pairs (n=3, CV: 0.344 → 0.881, median preserved: 15.39)",lognormal,0.4269166055731902,0.5205417628221893,0.6192748362552574,25.767721276982734,23.063558142987063,0.7577901535924403,0,15.39
a-Si,Cadmium,1,0.00661,0.0,0.00661,0.00661,0.00661,0.00661,0.00661,True,"CV borrowed from median of n>5 pairs (n=1, CV: 0.996 → 0.881, median preserved: 0.01)",lognormal,0.0,1.0,0.0,0.0,0.0,0.7577901535924403,0,0.00661
a-Si,Cement,4,7.4135,2.3527748865258373,7.1475,6.293,8.268,4.847,10.512,True,"CV borrowed from median of n>5 pairs (n=4, CV: 0.282 → 0.881, median preserved: 7.15)",lognormal,0.1751211110946831,0.9975766620462191,0.22046621169407743,22.78125961607777,20.94014269943744,0.7577901535924403,0,7.1475
a-Si,Chromium,1,0.634,0.0,0.634,0.634,0.634,0.634,0.634,True,"CV borrowed from median of n>5 pairs (n=1, CV: 0.996 → 0.881, median preserved: 0.63)",lognormal,0.0,1.0,0.0,0.0,0.0,0.7577901535924403,0,0.634
a-Si,Copper,5,4.5271,3.6485563309341957,7.0,1.005,7.0,0.1005,7.53,True,"Component-based bimodal fitting: 2 components (cell/module, complete system (BOS)). Total = sum of components.",lognormal,0.0,1.0,0.0,0.0,0.0,0.83,0,0.1005
a-Si,Germanium,16,0.0435,0.02526106358278157,0.042,0.030699999999999998,0.073,0.0034,0.073,True,"Forced lognormal distribution (n=16, KS p=0.0925, AIC=-60.41)",lognormal,0.29857930297564794,0.09249304821190152,1.5046037168876083,-60.40511742052534,-58.087351253806,0.9472109483128475,0,0.03206901447174443
a-Si,Glass,3,63.36666666666667,8.787680771018788,66.7,60.05,68.35,53.4,70.0,True,"CV borrowed from median of n>5 pairs (n=3, CV: 0.118 → 0.881, median preserved: 66.70)",lognormal,0.3554199803620594,0.7180337041056377,0.4202571765273504,26.53812392578515,23.83396079178948,0.7577901535924403,0,66.7
a-Si,Indium,4,0.0070125,0.004310153709556076,0.00532,0.00499,0.0073425,0.004,0.01341,True,"CV borrowed from median of n>5 pairs (n=4, CV: 0.481 → 0.881, median preserved: 0.01)",lognormal,0.386856706802166,0.47997629682672627,0.5429698200135835,-29.531860849225467,-31.372977765865794,0.7577901535924403,0,0.00532
a-Si,Molybdenum,1,0.01062,0.0,0.01062,0.01062,0.01062,0.01062,0.01062,True,"CV borrowed from median of n>5 pairs (n=1, CV: 0.996 → 0.881, median preserved: 0.01)",lognormal,0.0,1.0,0.0,0.0,0.0,0.7577901535924403,0,0.01062
a-Si,Nickel,1,0.334,0.0,0.334,0.334,0.334,0.334,0.334,True,"CV borrowed from median of n>5 pairs (n=1, CV: 0.996 → 0.881, median preserved: 0.33)",lognormal,0.0,1.0,0.0,0.0,0.0,0.7577901535924403,0,0.334
a-Si,Silicon,1,0.15,0.0,0.15,0.15,0.15,0.15,0.15,True,"CV borrowed from median of n>5 pairs (n=1, CV: 0.996 → 0.881, median preserved: 0.15)",lognormal,0.0,1.0,0.0,0.0,0.0,0.7577901535924403,0,0.15
a-Si,Steel,2,55.95,0.07071067811865576,55.95,55.925,55.975,55.9,56.0,True,"CV borrowed from median of n>5 pairs (n=2, CV: 0.001 → 0.881, median preserved: 55.95)",lognormal,0.3413447460685041,0.933249098925444,0.359282982079403,-0.30717549381022025,-4.227733952130384,0.7577901535924403,0,55.95
a-Si,Tellurium,1,0.0078,0.0,0.0078,0.0078,0.0078,0.0078,0.0078,True,"CV borrowed from median of n>5 pairs (n=1, CV: 0.996 → 0.881, median preserved: 0.01)",lognormal,0.0,1.0,0.0,0.0,0.0,0.7577901535924403,0,0.0078
a-Si,Tin,2,0.071962,0.10075988789195828,0.071962,0.036338,0.107586,0.000714,0.14321,True,"CV borrowed from median of n>5 pairs (n=2, CV: 0.671 → 0.881, median preserved: 0.07)",lognormal,0.0,1.0,0.0,0.0,0.0,0.7577901535924403,0,0.071962
offshore wind,Aluminum,20,1.9733500000000004,2.227795754481144,1.03,0.522,2.355,0.26,9.4,True,"Forced lognormal distribution (n=20, KS p=0.8506, AIC=70.07)",lognormal,0.12919366219543016,0.8506448932876979,0.35991265043188037,70.07125194514174,73.05844876580372,1.0121738294761977,0,1.1861851970630473
offshore wind,Boron,1,0.007,0.0,0.007,0.007,0.007,0.007,0.007,True,"CV borrowed from median of n>5 pairs (n=1, CV: 0.996 → 0.881, median preserved: 0.01)",lognormal,0.0,1.0,0.0,0.0,0.0,0.7577901535924403,0,0.007
offshore wind,Cement,4,0.181,0.04503332099679082,0.181,0.142,0.22,0.142,0.22,True,"CV borrowed from median of n>5 pairs (n=4, CV: 0.222 → 0.881, median preserved: 0.18)",lognormal,0.34134474606854304,0.6347475581065742,0.718565964159227,-8.665828814997923,-10.50694573163825,0.7577901535924403,0,0.181
offshore wind,Chromium,4,0.35239,0.07479444096990098,0.33299999999999996,0.29389,0.3915,0.29356,0.45,True,"CV borrowed from median of n>5 pairs (n=4, CV: 0.180 → 0.881, median preserved: 0.33)",lognormal,0.3217983546681471,0.7007346167192189,0.4267184871561618,-4.896064260177733,-6.737181176818061,0.7577901535924403,0,0.33299999999999996
offshore wind,Copper,49,5.442890184646938,4.860953521128236,4.0,1.8,9.371,0.8916666666999999,22.2,True,"Forced lognormal distribution (n=49, KS p=0.4464, AIC=260.40)",lognormal,0.1199676637225554,0.4464109106246896,0.6343807020358625,260.39912088011874,266.0745817744506,0.8501011805358973,0,3.816641182320713
offshore wind,Dysprosium,18,0.01755555555555556,0.007845845826424717,0.017,0.013,0.022,0.003,0.033,True,"Forced lognormal distribution (n=18, KS p=0.6065, AIC=-112.44)",lognormal,0.17133699371639252,0.6064537904060595,0.8418615358268902,-112.44417854475205,-109.77306327106356,0.5875690741955117,0,0.015339974626541958
