technology,material,n_samples,mean,std,median,q25,q75,min,max,use_parametric,recommendation,best_distribution,ks_statistic,ks_pvalue,ad_statistic,aic,bic,param_loc,param_scale,param_min,param_max,param_a,param_s
a-Si,Tellurium,1,0.0078,0.0,0.0078,0.0078,0.0078,0.0078,0.0078,True,Single data point - using narrow uniform distribution around 0.008,uniform,0.0,1.0,0.0,0.0,0.0,0.00702,0.0015600000000000006,0.00702,0.00858,,
a-Si,Tin,2,0.071962,0.10075988789195828,0.071962,0.036338,0.107586,0.000714,0.14321,True,"Using uniform distribution (n=2, KS p=0.5000). Best AIC rejected: lognormal: Lognormal shape s=20.86 > 3.0",uniform,0.5,0.5,21.025850888870277,-3.79376539937138,-6.407471038251489,0.000714,0.142496,0.000714,0.14321,,
offshore wind,Aluminum,20,1.9733500000000004,2.227795754481144,1.03,0.522,2.355,0.26,9.4,True,"Using gamma distribution (n=20, KS p=0.9764, AIC=40.66)",gamma,0.09995014507314404,0.9763639597349926,1.101187766140054,40.66077414119301,43.64797096185498,0.25999999999999995,2.6688619021278974,,,0.6432260634643132,
offshore wind,Boron,1,0.007,0.0,0.007,0.007,0.007,0.007,0.007,True,Single data point - using narrow uniform distribution around 0.007,uniform,0.0,1.0,0.0,0.0,0.0,0.0063,0.001400000000000001,0.0063,0.007700000000000001,,
offshore wind,Cement,4,0.181,0.04503332099679082,0.181,0.142,0.22,0.142,0.22,True,"Using uniform distribution (n=4, KS p=0.1875). Best AIC rejected: lognormal: Lognormal shape s=17.79 > 3.0",uniform,0.5,0.1875,42.05170177774055,-16.40837161834036,-17.63578289610058,0.142,0.07800000000000001,0.142,0.22,,
offshore wind,Chromium,4,0.35239,0.07479444096990098,0.33299999999999996,0.29389,0.3915,0.29356,0.45,True,"Using gamma distribution (n=4, KS p=0.2289). Best AIC rejected: lognormal: Lognormal shape s=14.63 > 3.0",gamma,0.47765997721975284,0.22886046613732525,4.34535061504646,-50.28426938351092,-52.12538630015125,0.29355999999999993,0.03926262241433466,,,0.3025416623218099,
offshore wind,Copper,49,5.442890184646938,4.860953521128236,4.0,1.8,9.371,0.8916666666999999,22.2,True,"Using gamma distribution (n=49, KS p=0.5655, AIC=241.34)",gamma,0.10920868990474975,0.5655098158987883,0.993947470880137,241.34498422849876,247.02044512283064,0.8916666666999998,5.150618765042479,,,0.8684143824908239,
offshore wind,Dysprosium,18,0.01755555555555556,0.007845845826424717,0.017,0.013,0.022,0.003,0.033,True,"Using uniform distribution (n=18, KS p=0.7199, AIC=-122.24)",uniform,0.15555555555555545,0.7199134114429118,2.565333032436641,-122.23608430351933,-120.45534078772701,0.003,0.030000000000000002,0.003,0.033,,
offshore wind,Fiberglass,5,8.8098,2.726188768225707,10.551,5.833,10.921,5.823,10.921,True,"Using uniform distribution (n=5, KS p=0.0800). Best AIC rejected: lognormal: Lognormal shape s=14.09 > 3.0",uniform,0.5274225186347589,0.07999572270267818,24.46745743644386,20.288483059539235,19.507358884407434,5.823,5.097999999999999,5.823,10.921,,
offshore wind,Lead,3,5.743333333333333,1.6916362887256033,6.72,5.255,6.72,3.79,6.72,True,"Using uniform distribution (n=3, KS p=0.0741). Best AIC rejected: lognormal: Lognormal shape s=17.17 > 3.0",uniform,0.6666666666666667,0.07407407407407403,35.376418106680276,10.450014538173855,8.647239115510075,3.79,2.9299999999999997,3.79,6.72,,
offshore wind,Molybdenum,1,0.075315,0.0,0.075315,0.075315,0.075315,0.075315,0.075315,True,Single data point - using narrow uniform distribution around 0.075,uniform,0.0,1.0,0.0,0.0,0.0,0.0677835,0.015063000000000007,0.0677835,0.0828465,,
offshore wind,Neodymium,41,0.1488509756097561,0.0507990341347588,0.1657,0.124,0.186,0.034,0.216,True,"Using uniform distribution (n=41, KS p=0.0006, AIC=-135.71)",uniform,0.30930045564191905,0.0005562333653100771,6.399609426131214,-135.707384536238,-132.2802404028294,0.034,0.182,0.034,0.216,,
offshore wind,Nickel,3,0.111,0.0,0.111,0.111,0.111,0.111,0.111,True,"Using uniform distribution (n=3, KS p=0.3333, AIC=-18.85)",uniform,0.5,0.3333333333333333,1.1588830833596715,-18.84597794062342,-20.648753363287202,0.0999,0.022199999999999998,0.0999,0.1221,,
offshore wind,Niobium,1,0.037656999999999996,0.0,0.037656999999999996,0.037656999999999996,0.037656999999999996,0.037656999999999996,0.037656999999999996,True,Single data point - using narrow uniform distribution around 0.038,uniform,0.0,1.0,0.0,0.0,0.0,0.0338913,0.007531400000000001,0.0338913,0.0414227,,
offshore wind,Praseodymium,4,0.03245,0.001968925256749649,0.032,0.03095,0.0335,0.0308,0.035,True,"Using gamma distribution (n=4, KS p=0.4438). Best AIC rejected: lognormal: Lognormal shape s=14.55 > 3.0",gamma,0.39798355345084335,0.44383340565974616,6.138091578092933,-42.93513240679103,-44.77624932343136,0.030799999999999998,0.0010525669506487544,,,0.8903179023282817,
offshore wind,Steel,20,302.45475,218.4249501031551,221.33499999999998,154.0,337.625,125.0,917.224,True,"Using gamma distribution (n=20, KS p=0.9731, AIC=232.81)",gamma,0.10138378092785555,0.9730970884895093,1.2250929629068636,232.80518916769182,235.7923859883538,124.99999999999997,209.65545084864158,,,0.6991299436681235,
offshore wind,Terbium,3,0.006386666666666666,0.0005371529887595649,0.0061600000000000005,0.00608,0.006580000000000001,0.006,0.007,True,"Using gamma distribution (n=3, KS p=0.5573). Best AIC rejected: lognormal: Lognormal shape s=15.93 > 3.0",gamma,0.41349944918651566,0.5573306091936592,6.271893969647026,-61.83158938461186,-64.53575251860752,0.005999999999999999,0.00023347069898323604,,,0.5212304492250348,
offshore wind,Vanadium,2,7.0,0.0,7.0,7.0,7.0,7.0,7.0,True,"Using uniform distribution (n=2, KS p=0.5000, AIC=5.35)",uniform,0.5,0.5,0.7725887222397811,5.345888946484853,2.7321833076047435,6.3,1.4000000000000004,6.3,7.7,,
onshore wind,Aluminum,37,1.7025135135135134,1.3629466978576974,1.64,0.56,2.133,0.05,5.3,True,"Using gamma distribution (n=37, KS p=0.5399, AIC=116.41)",gamma,0.12771956321188277,0.539871821077571,0.4221802647953865,116.40800001932483,121.24075375725751,0.026750522366339957,1.250838733032822,,,1.3397013123290602,
onshore wind,Boron,3,0.0026666666666666666,0.002886751345948129,0.001,0.001,0.0035,0.001,0.006,True,"Using gamma distribution (n=3, KS p=0.0741). Best AIC rejected: lognormal: Lognormal shape s=17.76 > 3.0",gamma,0.6666666532576114,0.07407408301344531,23.36743950781934,-91.52608155402196,-94.23024468801762,0.0009999999999999998,0.0009730746495197002,,,0.5063215959460052,
onshore wind,Cement,6,54.09383333333333,13.749399454764077,53.5845,42.815749999999994,63.178,38.717,73.075,True,"Using uniform distribution (n=6, KS p=0.7447). Best AIC rejected: lognormal: Lognormal shape s=13.13 > 3.0",uniform,0.25603935036963743,0.7446796560177857,7.065262305315796,46.44201865845105,46.02553759690716,38.717,34.358000000000004,38.717,73.075,,
onshore wind,Chromium,10,0.52649,0.2127371902397677,0.4975,0.359,0.65725,0.239,0.902,True,"Using uniform distribution (n=10, KS p=0.6479). Best AIC rejected: lognormal: Lognormal shape s=11.05 > 3.0",uniform,0.21900452488687785,0.6479225011183937,4.294238348086774,-4.219605775925491,-3.6144355899373988,0.239,0.663,0.239,0.902,,
onshore wind,Copper,102,3.500320726441177,2.741888834631268,2.52,1.94,4.67725,0.892,15.35,True,"Using lognormal distribution (n=102, KS p=0.5606, AIC=401.30)",lognormal,0.0766426855260739,0.5606167134356017,0.6865865065689718,401.3044874908662,409.17940593071904,0.6087878935841804,2.0918111808901303,,,,0.8031596867611331
onshore wind,Dysprosium,47,0.013441276595744683,0.010761135712048986,0.013300000000000001,0.0035,0.0175,0.0009,0.05,True,"Using gamma distribution (n=47, KS p=0.0000, AIC=-361.06)",gamma,0.3706327187024808,2.6613974498624612e-06,9.603434256508358,-361.064630673039,-355.51418786790884,0.0008999999999999999,0.014676720124584588,,,0.5414510889949911,
onshore wind,Fiberglass,3,8.653333333333334,1.1261142630005772,8.98,8.190000000000001,9.280000000000001,7.4,9.58,True,"Using uniform distribution (n=3, KS p=0.6184). Best AIC rejected: lognormal: Lognormal shape s=16.63 > 3.0",uniform,0.39143730886850164,0.6184356575112302,13.962617789709295,8.675949260805986,6.873173838142204,7.4,2.1799999999999997,7.4,9.58,,
