Technology,Material,n,Distribution,Mean,Median,Std (observed),CV (observed),IQR,p2.5,p97.5,95% CI width (observed),Std (fitted),CV (fitted),95% CI width (fitted),CI width / mean,Inflation factor,Std (inflated),CV (inflated),95% CI width (inflated),Low-N (<5)
CIGS,Cadmium,3,lognormal,89.2,1.3,152.24726598530432,1.7068079146334565,131.85,1.3,251.815,250.515,4093.188981424275,23.1191852957516,1040.7222853689073,5.8782165851745365,2.0,8186.37796284855,46.2383705915032,2081.4445707378145,Yes
CIGS,Gadium,3,lognormal,7.78,10.0,4.737636541567958,0.6089507122837992,4.33,2.723,10.95,8.227,6.59702133223301,0.8070424963359167,23.902732055799277,2.92412584044672,2.0,13.19404266446602,1.6140849926718335,47.80546411159855,Yes
CIGS,Glass,3,lognormal,63366.666666666664,66700.0,8787.680771018788,0.13867986487667736,8300.0,54065.0,69835.0,15770.0,7497.0372796021375,0.11829068557329675,29342.47851132848,0.46297514205624635,2.0,14994.074559204275,0.2365813711465935,58684.95702265696,Yes
CdTe,Indium,3,lognormal,15.633333333333333,15.5,0.23094010767585052,0.014772288337474447,0.1999999999999993,15.5,15.88,0.3800000000000008,0.18777801296504243,0.012011389193855722,0.7360646285872043,0.047083034835594305,2.0,0.37555602593008486,0.024022778387711444,1.4721292571744087,Yes
CdTe,Molybdenum,3,lognormal,70.0,100.5,60.33862776033277,0.8619803965761824,54.25,5.5,108.575,103.075,10054.083687736254,23.87190789020941,2458.359949113934,5.83700554808503,2.0,20108.16737547251,47.74381578041882,4916.719898227868,Yes
Coal,Manganese,3,lognormal,145.0,124.0,47.148700936505136,0.3251634547345182,43.5,112.6,195.25,82.65,36.84222207340759,0.2544258844923164,143.37073155180605,0.9900929730215069,2.0,73.68444414681518,0.5088517689846328,286.7414631036121,Yes
Coal,Nickel,3,lognormal,9.666666666666666,10.0,1.5275252316519468,0.1580198515502014,1.5,8.1,10.95,2.8499999999999996,1.2960744186586135,0.13405046533592127,5.070432036599955,0.5244249590728314,2.0,2.592148837317227,0.26810093067184254,10.14086407319991,Yes
Coal,Steel,3,lognormal,52655.0,51340.0,8960.166014087015,0.17016742976140947,8887.5,44770.75,61657.0,16886.25,7292.57973889181,0.1385044633409044,28525.77516037535,0.5417763427255278,2.0,14585.15947778362,0.2770089266818088,57051.5503207507,Yes
Coal CCS,Manganese,3,lognormal,145.0,124.0,47.148700936505136,0.3251634547345182,43.5,112.6,195.25,82.65,36.84222207340759,0.2544258844923164,143.37073155180605,0.9900929730215069,2.0,73.68444414681518,0.5088517689846328,286.7414631036121,Yes
Coal CCS,Nickel,3,lognormal,9.666666666666666,10.0,1.5275252316519468,0.1580198515502014,1.5,8.1,10.95,2.8499999999999996,1.2960744186586135,0.13405046533592127,5.070432036599955,0.5244249590728314,2.0,2.592148837317227,0.26810093067184254,10.14086407319991,Yes
